trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'e': 0.42805066795449304, 'a': 0.5}",25,3,-191.33900098421438,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 5}",1
43,False,"{'e': 0.41948965459540316, 'a': 0.5}",30,13,-50.95466252789663,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
44,False,"{'e': 0.4110998615034951, 'a': 0.5}",20,9,-73.56973305571304,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 2}",1
45,False,"{'e': 0.4028778642734252, 'a': 0.5}",20,0,-68.16249122110796,"{0: 15, 1: 2, 2: 0, 3: 2, 4: 1}",0
46,False,"{'e': 0.39482030698795667, 'a': 0.5}",20,16,7.494436586659182,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'e': 0.38692390084819756, 'a': 0.5}",30,20,4.787317869226534,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'e': 0.3791854228312336, 'a': 0.5}",30,4,-81.0631560528726,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 2}",1
49,False,"{'e': 0.37160171437460887, 'a': 0.5}",25,2,-37.16202174053484,"{0: 19, 1: 2, 2: 0, 3: 1, 4: 1}",1
50,False,"{'e': 0.3641696800871167, 'a': 0.5}",30,0,-60.75105983153412,"{0: 25, 1: 0, 2: 2, 3: 2, 4: 1}",1
51,False,"{'e': 0.35688628648537435, 'a': 0.5}",20,0,-53.39278891967658,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
52,False,"{'e': 0.34974856075566685, 'a': 0.5}",35,13,16.726588625814717,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 0}",1
53,False,"{'e': 0.3427535895405535, 'a': 0.5}",20,0,-0.6428827871773779,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
54,False,"{'e': 0.33589851774974244, 'a': 0.5}",25,0,-2.9411101314106283,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
55,False,"{'e': 0.3291805473947476, 'a': 0.5}",20,12,0.5426704339099384,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
56,False,"{'e': 0.32259693644685267, 'a': 0.5}",20,15,-12.468568062329117,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
57,False,"{'e': 0.3161449977179156, 'a': 0.5}",25,13,-39.0992619198127,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
58,False,"{'e': 0.3098220977635573, 'a': 0.5}",35,16,-15.221977163802134,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 0}",1
59,False,"{'e': 0.30362565580828615, 'a': 0.5}",25,4,-9.568018363470344,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 0}",1
60,False,"{'e': 0.2975531426921204, 'a': 0.5}",25,15,19.41303144265828,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'e': 0.291602079838278, 'a': 0.5}",25,12,-65.02332989718381,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
62,False,"{'e': 0.2857700382415124, 'a': 0.5}",20,12,15.105005791886766,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'e': 0.2800546374766822, 'a': 0.5}",35,7,28.232737442530453,"{0: 25, 1: 3, 2: 0, 3: 0, 4: 0}",1
